modified_name,location,avg_gf,avg_ga,avg_goals_game,league_lvl,region
Münchner Sport-Union 60,München,2.35,1.18,3.22,1,SOUTH
FC Westfalia Dortmund,Dortmund,2.06,1.06,3.22,1,WEST
1. SpVgg München,München,2.09,1.12,3.22,1,SOUTH
SV Bremen,Bremen,2.24,1.18,3.22,1,NORTH
VfB Köln,Köln,2.18,1.21,3.22,1,WEST
Nürnberger FC 19,Nürnberg,1.59,1.26,3.22,1,SOUTH
SC Mainmetropole Frankfurt,Frankfurt,1.88,1.35,3.22,1,SOUTH
1. FC Zebrastadt,Duisburg,2.06,1.41,3.22,1,WEST
Hanseatischer FC 87,Hamburg,1.88,1.53,3.22,1,NORTH
SC Welfenstadt Braunschweig,Braunschweig,1.44,1.44,3.22,1,NORTH
Stuttgarter SC 93,Stuttgart,1.24,1.41,3.22,1,SOUTH
Hannoveraner SV 91,Hannover,1.74,1.68,3.22,1,NORTH
VfL Niederrhein Gladbach,Mönchengladbach,1.68,2.00,3.22,1,WEST
1. DSC Gelsenkirchen,Gelsenkirchen,0.97,1.62,3.22,1,WEST
1. SG Kaiserslautern,Kaiserslautern,1.24,1.91,3.22,1,SOUTHWEST
TuS Karlsruhe,Karlsruhe,1.03,2.09,3.22,1,SOUTH
VfB Hüttenstadt Neunkirchen,Neunkirchen,0.94,2.41,3.22,1,SOUTHWEST
SC Neukölln-Berlin,Berlin,0.44,3.18,3.22,1,NORTHEAST
Viktoria Kiez-Klub Hamburg,Hamburg,2.63,1.22,3.40,2,NORTH
Göttinger SpVgg 05,Göttingen,2.03,1.00,3.40,2,NORTH
VfB Kieler SV,Kiel,2.13,1.28,3.40,2,NORTH
FC Küstenstadt 93,Bremerhaven,1.91,1.47,3.40,2,NORTH
Hanse-Club Lübeck,Lübeck,1.38,1.09,3.40,2,NORTH
1. FC Hannover-West,Hannover,2.09,1.53,3.40,2,NORTH
SG Osnabrück,Osnabrück,1.75,1.72,3.40,2,NORTH
FC Wolfsburg,Wolfsburg,1.72,1.72,3.40,2,NORTH
VfR Hamburg-Wandsbek,Hamburg,1.53,1.63,3.40,2,NORTH
Altonaer FC 93,Hamburg,1.28,1.47,3.40,2,NORTH
SG Bergedorf,Hamburg,1.75,2.03,3.40,2,NORTH
SC Oldenburg,Oldenburg,1.81,2.16,3.40,2,NORTH
FC Bremen,Bremen,1.81,2.13,3.40,2,NORTH
VfL Itzehoe,Itzehoe,1.50,1.88,3.40,2,NORTH
1. SV Hildesheim,Hildesheim,1.09,1.69,3.40,2,NORTH
BC Friedrichsort,Kiel,1.41,2.31,3.40,2,NORTH
SV Hamburg-Eppendorf,Hamburg,1.13,2.63,3.40,2,NORTH
