location,avg_gf,avg_ga,avg_goals_game,league_lvl,region
Dortmund,2.24,1.12,2.72,1,WEST
München,1.94,1.35,2.72,1,SOUTH
Gelsenkirchen,1.32,1.06,2.72,1,WEST
Mönchengladbach,1.53,1.50,2.72,1,WEST
Hamburg,1.53,1.38,2.72,1,NORTH
Rostock,1.38,1.26,2.72,1,NORTHEAST
Karlsruhe,1.56,1.38,2.72,1,SOUTH
München,1.53,1.35,2.72,1,SOUTH
Gremen,1.15,1.24,2.72,1,NORTH
Stuttgart,1.74,1.82,2.72,1,SOUTH
Freiburg,0.88,1.21,2.72,1,SOUTH
Köln,0.97,1.03,2.72,1,WEST
Düsseldorf,1.18,1.38,2.72,1,WEST
Leverkusen,1.09,1.12,2.72,1,WEST
Hamburg,1.26,1.50,2.72,1,NORTH
Kaiserslautern,0.91,1.09,2.72,1,SOUTHWEST
Frankfurt,1.26,2.00,2.72,1,SOUTH
Uerdingen,0.97,1.65,2.72,1,WEST
Bochum,2.00,0.88,2.60,2,WEST
Bielefeld,1.62,1.32,2.60,2,WEST
Duisburg,1.62,1.09,2.60,2,WEST
Unterhaching,1.53,1.12,2.60,2,SOUTH
Zwickau,1.15,1.41,2.60,2,NORTHEAST
Jena,1.44,1.59,2.60,2,NORTHEAST
Mannheim,1.44,1.38,2.60,2,SOUTH
Köln,1.09,1.09,2.60,2,WEST
Leipzig,1.03,1.44,2.60,2,NORTHEAST
Meppen,1.32,1.26,2.60,2,NORTH
Mainz,1.09,1.21,2.60,2,SOUTHWEST
Wolfsburg,1.21,1.35,2.60,2,NORTH
Lübeck,1.18,1.32,2.60,2,NORTHEAST
Berlin,1.09,1.03,2.60,2,NORTHEAST
Chemnitz,1.26,1.50,2.60,2,NORTHEAST
Hannover,1.12,1.41,2.60,2,NORTH
Nürnberg,0.97,1.18,2.60,2,SOUTH
Wattenscheid,1.12,1.68,2.60,2,WEST
Oldenburg,1.65,1.06,2.74,3,NORTH
Braunschweig,1.85,1.03,2.74,3,NORTH
Celle,1.85,1.18,2.74,3,NORTH
Emden,1.79,1.44,2.74,3,NORTH
Osnabrück,1.53,1.24,2.74,3,NORTH
Hamburg,1.32,1.24,2.74,3,NORTH
Hamburg,1.59,1.71,2.74,3,NORTH
Lübeck,1.53,1.35,2.74,3,NORTH
Herzlake,1.15,1.29,2.74,3,NORTH
Wilhelmshaven,1.18,1.18,2.74,3,NORTH
Lurup,1.24,1.44,2.74,3,NORTH
Hamburg,1.12,1.35,2.74,3,NORTH
Norderstedt,1.09,1.50,2.74,3,NORTH
Delmenhorst,1.24,1.50,2.74,3,NORTH
Bremen,1.09,1.29,2.74,3,NORTH
Hamburg,1.15,1.50,2.74,3,NORTH
Cloppenburg,1.29,1.79,2.74,3,NORTH
Kiel,1.00,1.56,2.74,3,NORTH
Berlin,2.12,0.74,2.56,3,NORTHEAST
Berlin,2.12,0.68,2.56,3,NORTHEAST
Cottbus,1.97,0.68,2.56,3,NORTHEAST
Dresden,1.35,0.68,2.56,3,NORTHEAST
Aue,1.53,1.03,2.56,3,NORTHEAST
Leipzig,1.47,1.32,2.56,3,NORTHEAST
Erfurt,0.91,0.76,2.56,3,NORTHEAST
Stendal,0.94,1.38,2.56,3,NORTHEAST
Berlin,1.06,0.97,2.56,3,NORTHEAST
Berlin,1.06,1.53,2.56,3,NORTHEAST
Nordhausen,1.03,1.09,2.56,3,NORTHEAST
Berlin,0.91,1.38,2.56,3,NORTHEAST
Berlin,1.29,2.00,2.56,3,NORTHEAST
Eisenhüttenstadt,1.26,2.00,2.56,3,NORTHEAST
Velten,1.35,2.35,2.56,3,NORTHEAST
Bischofswerda,0.71,1.21,2.56,3,NORTHEAST
Berlin,1.35,1.79,2.56,3,NORTHEAST
Rathenow,0.59,1.44,2.56,3,NORTHEAST
Gütersloh,2.35,1.06,2.90,3,WEST
Essen,1.76,0.91,2.90,3,WEST
Homburg,2.03,1.09,2.90,3,SOUTHWEST
Wuppertal,1.68,1.24,2.90,3,WEST
Paderborn,2.00,1.38,2.90,3,WEST
Aachen,1.91,1.56,2.90,3,WEST
Saarbrücken,1.88,1.41,2.90,3,SOUTHWEST
Oberhausen,1.24,0.97,2.90,3,WEST
Münster,1.74,1.44,2.90,3,WEST
Verl,1.65,1.62,2.90,3,WEST
Erkenschwick,1.24,1.18,2.90,3,WEST
Bocholt,1.47,1.85,2.90,3,WEST
Salmrohr,1.26,1.53,2.90,3,SOUTHWEST
Hauenstein,1.06,1.38,2.90,3,SOUTHWEST
