name,avg_gf,avg_ga,avg_goals_game,league_lvl,region
Bayern München,3.55,1.06,3.18,1,SOUTH
Borussia Dortmund,2.06,1.03,3.18,1,WEST
RB Leipzig,1.97,1.30,3.18,1,NORTHEAST
VfB Stuttgart,2.09,1.42,3.18,1,SOUTH
TSG Hoffenheim,1.97,1.45,3.18,1,SOUTH
Bayer 04 Leverkusen,2.03,1.39,3.18,1,WEST
SC Freiburg,1.36,1.61,3.18,1,SOUTH
Eintracht Frankfurt,1.79,1.91,3.18,1,SOUTH
FC Augsburg,1.36,1.73,3.18,1,SOUTH
1. FSV Mainz 05,1.24,1.52,3.18,1,SOUTHWEST
Bor. Mönchengladbach,1.15,1.61,3.18,1,WEST
Hamburger SV,1.09,1.55,3.18,1,NORTH
1. FC Union Berlin,1.12,1.73,3.18,1,NORTHEAST
1. FC Köln,1.42,1.67,3.18,1,WEST
Werder Bremen,1.12,1.76,3.18,1,NORTH
VfL Wolfsburg,1.27,2.06,3.18,1,NORTH
FC St. Pauli,0.85,1.73,3.18,1,NORTH
1. FC Heidenheim,1.15,2.09,3.18,1,SOUTH
FC Schalke 04,1.48,0.94,2.92,2,WEST
SV Elversberg,1.82,1.18,2.92,2,SOUTHWEST
Hannover 96,1.73,1.24,2.92,2,NORTH
SC Paderborn 07,1.73,1.36,2.92,2,WEST
SV Darmstadt 98,1.73,1.30,2.92,2,SOUTH
Hertha BSC,1.36,1.12,2.92,2,NORTHEAST
1. FC Kaiserslautern,1.55,1.42,2.92,2,SOUTHWEST
1. FC Nürnberg,1.33,1.27,2.92,2,SOUTH
Karlsruher SC,1.58,1.88,2.92,2,SOUTH
VfL Bochum,1.42,1.39,2.92,2,WEST
Holstein Kiel,1.30,1.39,2.92,2,NORTH
1. FC Magdeburg,1.58,1.73,2.92,2,NORTHEAST
Dynamo Dresden,1.58,1.58,2.92,2,NORTHEAST
Fortuna Düsseldorf,1.00,1.48,2.92,2,WEST
Eintracht Braunschweig,1.09,1.61,2.92,2,NORTH
Arminia Bielefeld,1.42,1.52,2.92,2,WEST
SpVgg Greuther Fürth,1.36,2.03,2.92,2,SOUTH
